ProductID,ProductName,brandName,ProductCategory,Rating,Review,ProductPrice(USD)
1,Calcium,Act,Supplements,4,I Will Purchase Again,47.21
2,Whey Protien,Action Labs,Sports,2,I Will Purchase Again,40.23
3,Creams,ACURE,Beauty,3,Not Recommend,17.99
4,Lip Care,Acwell,Bath,1,I Will Purchase Again,78.37
5,Floar,Bengay,Grocery,3,Not Recommend,51.31
6,refresh oil,Bengay,Healthy Home,5,I did not expect this,59.56
7,Children Health,Beplain,Baby,5,Not Recommend,96.21
8,Pet Grooming,Bergin Fruit and Nut Company,Pets,4,like the picture,47.32
9,Garlic,Better Life,Supplements,4,like the picture,33.56
10,Bee Propolis,Better Than Bouillon,Supplements,2,I did not expect this,53.21
11,Omega3,Act,Supplements,3,I did not expect this,28.65
12,Fish Oil,Beyond BodiHeat,Supplements,4,I Will Purchase Again,57.07
13,Zinc,Act,Supplements,2,like the picture,65.02
14,VitaminC,Act,Supplements,5,I did not expect this,27.34
15,BCAA,Bio Nutrition,Sports,1,Not Recommend,75.01
16,Cleanser,Bio Nutrition,Beauty,5,Not Recommend,80.98
17,Showe Shampo,Bio-Oil,Bath,3,Recommend,14.08
18,Coffe,Bio-Strath,Grocery,5,I Will Purchase Again,49.53
19,refresh oil,Biochem,Healthy Home,1,like the picture,72.97
20,Bath&Skin,Bioderma,Baby,4,I did not expect this,84.18
21,Pet Food,Act,Pets,2,Recommend,10.29
22,Cleanser,Bioglan,Beauty,1,like the picture,82.91
23,Creams,Biokleen,Beauty,4,Recommend,88.58
24,Makeup Brushes,Bionaturae,Beauty,5,Not Recommend,72.24
25,Makeup Brushes,Act,Beauty,3,Not Recommend,28.26
26,Creams,Bioray Inc,Beauty,5,Recommend,54.32
27,Fiber,Biore,Supplements,3,Not Recommend,30.86
28,Sport Multivitamins,BioSchwartz,Sports,2,Not Recommend,74.45
29,Creams,BioSil,Beauty,5,I Will Purchase Again,88.08
30,Hair Care,Biosilk,Bath,1,I Will Purchase Again,54.57
31,Floar,BioTech,Grocery,4,like the picture,65.66
